iter	Logloss
0	0.5068035132
1	0.3789722041
2	0.279108882
3	0.1992232028
4	0.1451542673
5	0.1063072074
6	0.07635006896
7	0.0553079077
8	0.04215352495
9	0.03318264907
10	0.0253933681
11	0.01997802802
12	0.01580497175
13	0.01229235034
14	0.01008514251
15	0.00816897374
16	0.006728057406
17	0.005560901941
18	0.004617640008
19	0.003879155671
20	0.003314109672
21	0.002938831332
22	0.002549337943
23	0.002264136519
24	0.002034566904
25	0.001826249329
26	0.001634652667
27	0.001472590097
28	0.001326953614
29	0.001207988717
30	0.001119551651
31	0.001041364392
32	0.000974668168
33	0.0009130739691
34	0.0008603873355
35	0.000805658798
36	0.0007477373476
37	0.0006972004486
38	0.000656558036
39	0.0006251140854
40	0.000593847525
41	0.0005631454369
42	0.0005431129157
43	0.0005190405112
44	0.0005025060755
45	0.0004839629048
46	0.0004664869088
47	0.00044888635
48	0.0004325092071
49	0.0004165664336
50	0.0004049687031
51	0.0003934484757
52	0.0003817087697
53	0.0003701819611
54	0.0003594594206
55	0.0003489582532
56	0.0003399848902
57	0.0003318740259
58	0.0003226436752
59	0.0003164888143
60	0.0003114542714
61	0.0003017370044
62	0.0002909598859
63	0.0002804322066
64	0.0002733835621
65	0.0002651253821
66	0.0002579434703
67	0.0002512852745
68	0.0002452657417
69	0.0002400835214
70	0.0002347229779
71	0.0002305369059
72	0.0002258776827
73	0.0002214625708
74	0.0002148092404
75	0.0002110709753
76	0.0002057399386
77	0.0002027081389
78	0.0001956940807
79	0.0001904140386
80	0.0001839753756
81	0.0001789951904
82	0.0001761722531
83	0.0001713747994
84	0.0001671917712
85	0.000162842424
86	0.0001591657691
87	0.000157264101
88	0.000155187663
89	0.0001536425812
90	0.00014906577
91	0.0001447051451
92	0.0001402687295
93	0.000136399326
94	0.0001322668952
95	0.0001288310918
96	0.0001257632633
97	0.000123170019
98	0.000119809885
99	0.0001168702897
100	0.000113891219
101	0.0001112863861
102	0.0001095824062
103	0.0001071019977
104	0.0001045477062
105	0.0001018891069
106	9.919538678e-05
107	9.718721463e-05
108	9.500488023e-05
109	9.278754614e-05
