iter	MultiClass
0	1.340429612
1	1.306829301
2	1.278691238
3	1.253298268
4	1.233874123
5	1.216433316
6	1.197762527
7	1.18414575
8	1.173194798
9	1.162101261
10	1.152942839
11	1.142941102
12	1.134470679
13	1.126625173
14	1.11941585
15	1.113246153
16	1.106964982
17	1.101239888
18	1.096643835
19	1.091741953
20	1.086932882
21	1.08382638
22	1.079778887
23	1.077090844
24	1.073835496
25	1.071520341
26	1.067878283
27	1.065336578
28	1.063217644
29	1.060650785
30	1.057741033
31	1.055469311
32	1.053470665
33	1.050567716
34	1.048335832
35	1.046839523
36	1.045088604
37	1.043700888
38	1.041578645
39	1.039453977
40	1.037798703
41	1.036660188
42	1.034454283
43	1.03275978
44	1.031467639
45	1.030017292
46	1.02885963
47	1.027030717
48	1.026146154
49	1.024929516
50	1.023483562
51	1.02225114
52	1.020049645
53	1.018681857
54	1.017529652
55	1.016089018
56	1.015187866
57	1.014203386
58	1.013897303
59	1.012693638
60	1.011720343
61	1.011014839
62	1.010011407
63	1.009372851
64	1.008755328
65	1.007188116
66	1.006212903
67	1.005296036
68	1.00458675
69	1.003430935
70	1.002668141
71	1.001361911
72	1.000535572
73	0.9998912692
74	0.9986848391
75	0.9979109938
76	0.9970915075
77	0.9959411607
78	0.9953142712
79	0.9949035531
80	0.9939878964
81	0.993311413
82	0.992841947
83	0.9918393579
84	0.9918352739
85	0.9910742841
86	0.9904820994
87	0.9897232239
88	0.9890953205
89	0.9882820566
90	0.9872466393
91	0.9865181872
92	0.9847258376
93	0.9837637065
94	0.9826959832
95	0.9818680446
96	0.9808935268
97	0.9800489409
98	0.9790307272
99	0.9782847563
100	0.9777687769
101	0.9769033805
102	0.9759771544
103	0.9750331575
104	0.9742943827
105	0.973299859
106	0.9725165613
107	0.9714494377
108	0.9708493287
109	0.9699110753
110	0.9693311582
111	0.9685293927
112	0.9674189923
113	0.966884547
114	0.965864656
115	0.9654487173
116	0.9647972986
117	0.9639492489
118	0.963444562
119	0.9629046404
120	0.9622729715
121	0.9614324763
122	0.960679811
123	0.960126325
124	0.9591462453
125	0.9576104747
126	0.9571271776
127	0.9565888221
128	0.9558913356
129	0.9549844275
130	0.9540244082
131	0.9534537512
132	0.9526213961
133	0.9520729129
134	0.9512212799
135	0.9502175816
136	0.9495473147
137	0.9490703192
138	0.948276148
139	0.9476308385
140	0.9466431039
141	0.9463213086
142	0.9456571591
143	0.9451095342
144	0.9441781166
