iter	Passed	Remaining
426	1722	2311
427	1725	2305
428	1728	2300
429	1731	2294
430	1734	2289
431	1737	2284
432	1740	2279
433	1743	2273
434	1747	2269
435	1750	2264
436	1753	2258
437	1756	2253
438	1759	2248
439	1767	2249
440	1772	2246
441	1777	2244
442	1784	2243
443	1789	2240
444	1793	2236
445	1798	2233
446	1801	2228
447	1803	2222
448	1806	2217
449	1810	2212
450	1818	2213
451	1821	2208
452	1824	2202
453	1826	2197
454	1833	2196
455	1838	2192
456	1840	2187
457	1844	2182
458	1847	2178
459	1850	2172
460	1853	2167
461	1856	2162
462	1860	2157
463	1863	2153
464	1866	2147
465	1870	2142
466	1873	2137
467	1878	2134
468	1881	2129
469	1884	2124
470	1887	2119
471	1890	2114
472	1894	2111
473	1897	2105
474	1900	2100
475	1903	2095
476	1906	2090
477	1910	2086
478	1913	2081
479	1916	2075
480	1918	2070
481	1921	2065
482	1924	2060
483	1927	2054
484	1930	2050
485	1933	2044
486	1938	2042
487	1941	2036
488	1944	2031
489	1947	2026
490	1949	2021
491	1953	2017
492	1958	2014
493	1962	2010
494	1966	2006
495	1972	2004
496	1977	2000
497	1979	1995
498	1983	1991
499	1986	1986
500	1992	1984
501	1996	1980
502	1999	1976
503	2002	1970
504	2008	1969
505	2013	1965
506	2018	1962
507	2022	1958
508	2032	1960
509	2038	1958
510	2059	1970
511	2067	1970
512	2075	1969
513	2079	1966
514	2085	1964
515	2091	1961
516	2097	1959
517	2110	1964
518	2125	1969
519	2130	1966
520	2143	1970
521	2151	1969
522	2175	1984
523	2184	1984
524	2192	1983
525	2196	1979
526	2208	1982
527	2227	1991
528	2236	1991
529	2242	1988
530	2247	1985
531	2253	1982
532	2256	1977
533	2259	1971
534	2262	1966
535	2265	1961
536	2268	1955
537	2271	1950
538	2273	1944
539	2276	1939
540	2280	1934
541	2282	1929
542	2286	1924
543	2288	1918
544	2291	1913
545	2295	1908
546	2298	1903
547	2301	1898
548	2304	1893
549	2307	1887
550	2310	1882
551	2314	1878
552	2317	1873
553	2320	1868
554	2323	1863
555	2328	1859
556	2331	1854
557	2334	1849
558	2337	1844
559	2340	1839
560	2345	1835
561	2351	1832
562	2353	1827
563	2356	1821
564	2360	1817
565	2365	1813
566	2369	1809
567	2373	1805
568	2378	1801
569	2384	1798
570	2389	1795
571	2398	1794
572	2402	1789
573	2404	1784
574	2409	1781
575	2412	1775
576	2415	1770
577	2418	1765
578	2421	1760
579	2430	1759
580	2433	1754
581	2436	1749
582	2440	1745
583	2446	1742
584	2449	1737
585	2452	1732
586	2455	1727
587	2458	1722
588	2461	1717
589	2464	1712
590	2467	1707
591	2470	1702
592	2476	1699
593	2480	1695
594	2483	1690
595	2488	1686
596	2495	1684
597	2498	1679
598	2501	1674
599	2504	1669
600	2507	1664
601	2510	1659
602	2514	1655
603	2517	1650
604	2521	1646
605	2524	1641
606	2527	1636
607	2530	1631
608	2535	1627
609	2538	1622
610	2541	1618
611	2544	1612
612	2548	1609
613	2558	1608
614	2562	1604
615	2567	1600
616	2572	1596
617	2574	1591
618	2577	1586
619	2580	1581
620	2585	1577
621	2590	1574
622	2593	1569
623	2596	1564
624	2600	1560
625	2603	1555
626	2606	1550
627	2609	1545
628	2612	1540
629	2615	1535
630	2618	1531
631	2620	1526
632	2623	1521
633	2626	1516
634	2629	1511
635	2632	1506
636	2635	1501
637	2638	1496
638	2640	1491
639	2643	1486
640	2646	1481
641	2649	1477
642	2651	1472
643	2654	1467
644	2657	1462
645	2660	1457
646	2663	1453
647	2666	1448
648	2669	1443
649	2672	1438
650	2675	1434
651	2677	1429
652	2680	1424
653	2683	1419
654	2686	1414
655	2689	1410
656	2692	1405
657	2696	1401
658	2699	1396
659	2701	1391
660	2704	1387
661	2707	1382
662	2711	1378
663	2714	1373
664	2717	1368
665	2719	1364
666	2722	1359
667	2726	1354
668	2731	1351
669	2735	1347
670	2741	1344
671	2757	1345
672	2769	1345
673	2774	1341
674	2779	1338
675	2788	1336
676	2799	1335
677	2805	1332
678	2810	1328
679	2819	1326
680	2823	1322
681	2836	1322
682	2838	1317
683	2850	1316
684	2853	1312
685	2863	1310
686	2869	1307
687	2875	1303
688	2886	1303
689	2902	1303
690	2910	1301
691	2914	1297
692	2920	1293
693	2925	1289
694	2929	1285
695	2932	1280
696	2935	1276
697	2941	1272
698	2944	1267
699	2947	1263
700	2950	1258
701	2953	1253
702	2958	1249
703	2963	1245
704	2972	1243
705	2980	1241
706	2983	1236
707	2998	1236
708	3003	1232
709	3014	1231
710	3017	1226
711	3028	1225
712	3034	1221
713	3047	1220
714	3051	1216
715	3063	1215
716	3073	1213
717	3079	1209
718	3088	1207
719	3096	1204
720	3104	1201
721	3112	1198
722	3121	1195
723	3127	1192
724	3139	1190
725	3145	1187
726	3154	1184
727	3159	1180
728	3168	1178
729	3173	1173
730	3179	1170
731	3187	1167
732	3203	1167
733	3207	1162
734	3216	1159
735	3220	1155
736	3223	1150
737	3228	1146
738	3234	1142
739	3237	1137
740	3240	1132
741	3244	1128
742	3247	1123
743	3250	1118
744	3253	1113
745	3256	1108
746	3259	1103
747	3262	1099
748	3265	1094
749	3268	1089
750	3271	1084
751	3275	1080
752	3278	1075
753	3281	1070
754	3284	1065
755	3287	1060
756	3290	1056
757	3293	1051
758	3296	1046
759	3299	1041
760	3302	1037
761	3305	1032
762	3309	1027
763	3312	1023
764	3315	1018
765	3318	1013
766	3321	1008
767	3325	1004
768	3327	999
769	3330	994
770	3336	991
771	3349	989
772	3352	984
773	3359	980
774	3363	976
775	3366	971
776	3369	967
777	3373	962
778	3376	957
779	3379	953
780	3382	948
781	3385	943
782	3389	939
783	3391	934
784	3395	929
785	3397	925
786	3400	920
787	3405	916
788	3408	911
789	3410	906
790	3413	901
791	3416	897
792	3419	892
793	3422	887
794	3425	883
795	3428	878
796	3431	874
797	3435	869
798	3438	864
799	3441	860
800	3443	855
801	3446	850
802	3450	846
803	3461	843
804	3464	839
805	3476	836
806	3482	832
807	3493	830
808	3500	826
809	3505	822
810	3510	818
811	3519	814
812	3525	810
813	3532	807
814	3541	803
815	3547	799
816	3554	796
817	3558	791
818	3563	787
819	3568	783
820	3576	779
821	3591	777
822	3594	773
823	3607	770
824	3610	765
825	3619	762
826	3626	758
827	3638	755
828	3642	751
829	3656	749
830	3661	744
831	3669	740
832	3672	736
833	3675	731
834	3684	727
835	3686	723
836	3690	718
837	3693	714
838	3697	709
839	3700	704
840	3703	700
